id,name
603,James Webb III
743,Bogdan Bogdanovic
1572,London Perrantes
1886,Eric Paschall
291,Enes Kanter
1403,Phil Greene
953,Gary Clark
1898,Tremont Waters
157,Wayne Ellington
2327,Garrison Mathews
962,Donte DiVincenzo
842,Malik Monk
739,Khem Birch
348,T.J. McConnell
994,J.P. Macura
1046,Trae Young
1010,Josh Okogie
1901,Grant Williams
1353,Cody Demps
775,Kyle Fogg
475,Thabo Sefolosha
1426,Malcolm Hill
87,Bruno Caboclo
1006,Svi Mykhailiuk
2152,Rayjon Tucker
384,Mike Muscala
864,Ivan Rabb
1337,Demitrius Conger
2110,Oshae Brissett
88,Jose Calderon
89,Kentavious Caldwell-Pope
1864,Jaxson Hayes
1889,Cam Reddish
1020,Mitchell Robinson
1685,Derek Willis
286,DeAndre Jordan
758,Tyler Cavanaugh
817,Maxi Kleber
1187,Rion Brown
189,Paul George
2478,Jonathan Mor
1244,Josh Adams
313,Alex Len
982,Jaren Jackson Jr.
2278,Shuo Fang
2057,Eric Mika
2072,Justin James
776,De'Aaron Fox
383,Jamal Murray
2334,Jordon Varnado
519,Karl-Anthony Towns
611,Matt Costello
1794,Willy Workman
1095,Tohi Smith-Milner
290,Frank Kaminsky
232,Mario Hezonja
322,Kevon Looney
1492,Marcus Lee
1895,Alen Smailagic
540,T.J. Warren
522,Myles Turner
978,Isaiah Hartenstein
447,Malachi Richardson
75,Jaylen Brown
941,Miles Bridges
2337,Matt Mooney
1902,Zion Williamson
136,DeMar DeRozan
329,Timothe Luwawu-Cabarrot
437,Taurean Prince
488,Ish Smith
8,LaMarcus Aldridge
1812,John Petrucelli
2287,Xiaochuan Zhai
2375,Stan Okoye
1121,Daniel Johnson
1651,Travis Trice II
1798,Luis Scola
138,Cheick Diallo
44,Kent Bazemore
2244,Josh Perkins
2064,Chris Silva
2456,Lucas  Dias
1491,Jeff Ledbetter
223,Aaron Harrison
398,Jusuf Nurkic
1868,De'Andre Hunter
834,Erik McCree
2063,Nick Mayo
819,Luke Kornet
1988,Darel Poirier
2034,Lindell Wigginton
787,Daniel Hamilton
323,Brook Lopez
765,Torrey Craig
987,Kevin Knox II
1100,Chris Goulding
1907,Brandon Ashley
802,Wes Iwundu
1116,Adris De Leon
